@relation balloon

@attribute id numeric
@attribute raw numeric
@attribute binaryClass {P,N}

@data
1682,2.26,N
1683,2.26,N
1684,2.26,N
1685,2.26,N
1686,2.26,N
1687,2.28,N
1688,2.26,N
1689,2.26,N
1690,2.26,N
1691,2.26,N
1692,2.24,N
1693,2.24,N
1694,2.24,N
1695,2.24,N
1696,2.24,N
1697,2.24,N
1698,2.24,N
1699,2.24,N
1700,2.24,N
1701,2.24,N
1702,2.24,N
1703,2.24,N
1704,2.24,N
1705,2.24,N
1706,2.24,N
1707,2.24,N
1708,2.24,N
1709,2.24,N
1710,2.24,N
1711,2.24,N
1712,2.24,N
1713,2.24,N
1714,2.26,N
1715,2.26,N
1716,2.26,N
1717,2.26,N
1718,2.26,N
1719,1.56,P
1720,2.02,P
1721,2.26,N
1722,2.26,N
1723,2.26,N
1724,2.26,N
1725,2.24,N
1726,2.24,N
1727,2.24,N
1728,2.24,N
1729,2.26,N
1730,2.26,N
1731,2.26,N
1732,2.26,N
1733,2.24,N
1734,2.24,N
1735,2.24,N
1736,2.26,N
1737,2.26,N
1738,2.26,N
1739,2.26,N
1740,2.24,N
1741,2.2,N
1742,2.2,N
1743,2.2,N
1744,2.2,N
1745,2.24,N
1746,2.26,N
1747,2.26,N
1748,2.26,N
1749,2.26,N
1750,2.26,N
1751,2.24,N
1752,2.22,N
1753,2.22,N
1754,2.2,N
1755,2.2,N
1756,2.2,N
1757,2.2,N
1758,2.22,N
1759,2.22,N
1760,2.22,N
1761,2.22,N
1762,2.22,N
1763,2.2,N
1764,2.2,N
1765,2.18,P
1766,2.14,P
1767,2.14,P
1768,2.1,P
1769,2.06,P
1770,2,P
1771,2.02,P
1772,2.04,P
1773,2.08,P
1774,2.1,P
1775,2.1,P
1776,2.08,P
1777,2.04,P
1778,2,P
1779,2,P
1780,1.98,P
1781,1.98,P
1782,1.96,P
1783,1.96,P
1784,1.96,P
1785,1.96,P
1786,1.94,P
1787,1.92,P
1788,1.92,P
1789,1.9,P
1790,1.88,P
1791,1.86,P
1792,1.86,P
1793,1.92,P
1794,2,P
1795,2.08,P
1796,2.12,P
1797,2.14,P
1798,2.16,P
1799,2.16,P
1800,2.16,P
1801,2.16,P
1802,2.16,P
1803,2.12,P
1804,2.08,P
1805,2.04,P
1806,2,P
1807,1.96,P
1808,1.96,P
1809,1.92,P
1810,1.92,P
1811,1.92,P
1812,1.92,P
1813,1.92,P
1814,1.92,P
1815,1.94,P
1816,1.96,P
1817,1.96,P
1818,1.98,P
1819,2,P
1820,2,P
1821,1.96,P
1822,1.94,P
1823,1.9,P
1824,1.86,P
1825,1.84,P
1826,1.84,P
1827,1.84,P
1828,1.88,P
1829,1.92,P
1830,1.96,P
1831,2,P
1832,2.04,P
1833,2.08,P
1834,2.08,P
1835,2.1,P
1836,2.1,P
1837,2.1,P
1838,2.1,P
1839,2.1,P
1840,2.08,P
1841,2.06,P
1842,2.04,P
1843,2.02,P
1844,2,P
1845,2,P
1846,1.98,P
1847,1.98,P
1848,1.98,P
1849,2,P
1850,2.02,P
1851,2.08,P
1852,2.1,P
1853,2.1,P
1854,2.1,P
1855,2.06,P
1856,2.02,P
1857,2,P
1858,2.04,P
1859,2.08,P
1860,2.12,P
1861,2.14,P
1862,2.14,P
1863,2.18,P
1864,2.2,N
1865,2.22,N
1866,2.22,N
1867,2.22,N
1868,2.22,N
1869,2.24,N
1870,2.24,N
1871,2.24,N
1872,2.26,N
1873,2.26,N
1874,2.26,N
1875,2.28,N
1876,2.28,N
1877,2.26,N
1878,2.26,N
1879,2.26,N
1880,2.24,N
1881,2.22,N
1882,2.2,N
1883,2.18,P
1884,2.2,N
1885,2.2,N
1886,2.22,N
1887,2.24,N
1888,2.26,N
1889,2.26,N
1890,1.9,P
1891,1.86,P
1892,2.26,N
1893,2.26,N
1894,2.26,N
1895,2.26,N
1896,2.24,N
1897,2.24,N
1898,2.24,N
1899,2.24,N
1900,2.24,N
1901,1.8,P
1902,2.26,N
1903,2.26,N
1904,2.26,N
1905,2.26,N
1906,2.26,N
1907,2.26,N
1908,2.26,N
1909,2.26,N
1910,2.26,N
1911,2.26,N
1912,2.26,N
1913,2.26,N
1914,2.26,N
1915,2.26,N
1916,2.26,N
1917,2.26,N
1918,2.26,N
1919,2.28,N
1920,2.28,N
1921,2.26,N
1922,2.26,N
1923,2.26,N
1924,2.26,N
1925,2.26,N
1926,2.26,N
1927,2.26,N
1928,2.26,N
1929,2.26,N
1930,2.12,P
1931,2.24,N
1932,2.24,N
1933,2.24,N
1934,2.24,N
1935,2.24,N
1936,2.24,N
1937,2.24,N
1938,2.26,N
1939,2.26,N
1940,2.26,N
1941,2.24,N
1942,1.36,P
1943,2.24,N
1944,2.26,N
1945,2.26,N
1946,2.26,N
1947,2.26,N
1948,2.24,N
1949,2.24,N
1950,2.22,N
1951,2.22,N
1952,2.22,N
1953,2.2,N
1954,2.2,N
1955,2.2,N
1956,2.2,N
1957,2.2,N
1958,2.2,N
1959,2.2,N
1960,2.2,N
1961,2.2,N
1962,2.2,N
1963,2.2,N
1964,2.2,N
1965,2.22,N
1966,2.22,N
1967,2.24,N
1968,2.24,N
1969,2.26,N
1970,2.26,N
1971,2.26,N
1972,2,P
1973,1.56,P
1974,2.26,N
1975,2.26,N
1976,2.26,N
1977,2.24,N
1978,2.24,N
1979,2.24,N
1980,2.24,N
1981,2.24,N
1982,2.24,N
1983,2.12,P
1984,2.26,N
1985,2.26,N
1986,2.26,N
1987,2.26,N
1988,2.26,N
1989,2.26,N
1990,2.26,N
1991,2.26,N
1992,2.24,N
1993,2.24,N
1994,2.24,N
1995,2.24,N
1996,2.24,N
1997,2.24,N
1998,2.24,N
1999,2.24,N
2000,2.24,N
2001,2.24,N
